date,city,temperature_c,humidity_pct,wind_speed_kmh,pm25,pm10,no2,co,aqi,air_quality_label
2024-01-01,Delhi,15.2,72,8.5,180.3,220.1,85.2,2.1,220,Hazardous
2024-01-01,Mumbai,28.4,85,12.3,45.2,78.4,32.1,0.8,95,Moderate
2024-01-01,Bangalore,22.1,60,15.2,28.4,52.3,18.4,0.5,68,Moderate
2024-01-01,Chennai,30.2,78,10.1,35.6,65.2,24.5,0.7,82,Moderate
2024-01-01,Kolkata,18.5,80,6.2,145.2,185.4,72.3,1.8,195,Unhealthy
2024-01-02,Delhi,14.8,75,7.2,195.4,238.2,92.1,2.3,240,Hazardous
2024-01-02,Mumbai,27.8,82,13.5,38.5,68.2,28.4,0.7,82,Moderate
2024-01-02,Bangalore,21.5,58,16.8,22.3,44.1,15.2,0.4,55,Good
2024-01-02,Chennai,29.8,76,11.2,30.2,58.4,20.8,0.6,72,Moderate
2024-01-02,Kolkata,17.2,82,5.8,162.3,198.5,80.1,2.0,210,Hazardous
2024-01-03,Delhi,16.5,68,10.2,155.2,192.3,74.5,1.9,200,Unhealthy
2024-01-03,Mumbai,29.1,80,14.2,42.1,74.5,30.2,0.7,88,Moderate
2024-01-03,Bangalore,23.4,62,14.5,18.5,38.2,12.8,0.3,48,Good
2024-01-03,Chennai,31.5,74,12.5,28.5,54.2,19.2,0.5,68,Moderate
2024-01-03,Kolkata,19.8,78,7.5,128.4,168.5,64.2,1.6,175,Unhealthy
2024-01-04,Delhi,18.2,65,12.5,120.5,158.4,60.2,1.5,165,Unhealthy
2024-01-04,Mumbai,30.5,78,15.8,35.2,62.1,25.8,0.6,78,Moderate
2024-01-04,Bangalore,24.8,55,18.2,15.2,32.4,10.5,0.2,42,Good
2024-01-04,Chennai,32.1,72,13.8,25.4,48.5,17.5,0.5,62,Moderate
2024-01-04,Kolkata,21.2,75,9.2,108.2,145.2,55.4,1.4,152,Unhealthy
2024-01-05,Delhi,20.5,60,15.2,85.2,118.4,45.2,1.2,128,Unhealthy
2024-01-05,Mumbai,31.8,75,18.2,28.4,52.1,20.5,0.5,68,Moderate
2024-01-05,Bangalore,25.5,52,20.5,12.4,26.5,8.5,0.2,35,Good
2024-01-05,Chennai,33.2,70,15.5,22.1,42.8,15.8,0.4,55,Good
2024-01-05,Kolkata,22.8,72,11.5,88.5,122.4,46.5,1.2,132,Unhealthy
2024-01-06,Delhi,22.1,55,18.5,65.2,95.4,35.4,1.0,105,Unhealthy for Sensitive
